Ref Number,Community_number,study,year,data_type,veg_type,elevation,island,coordinates_notes,notes,latitude,longitude,n_plant_spp,bee,medium-large bees,small bees,solitary bee,bumblebee,Halictinae bees,hymenoptera,ants,wasps,butterfly,moth,sphingid,lepidoptera,fly (general),beefly (Acroceridae),syrphid fly (Syrphidae),muscoid fly (Muscoidea),beetle,flies+wasps,thysanoptera,insect generalist,small insects,insect (any),bat,birds (general),non-flying mammals,reptiles,wind,water,abiotic,biotic,both,unknown,self-compatible,Country,locality_notes
23,25,"Hilje, B., Calvo-Alvarado, J., Jiménez-Rodríguez, C., & Sánchez-Azofeifa, A. (2015). Tree species composition, breeding systems, and pollination and dispersal syndromes in three forest successional stages in a tropical dry forest in Mesoamerica. Tropical Conservation Science, 8(1), 76-94.",2015,syndrome,closed,178,no,"10°48'53″ N, 85°36'54” W","values and number of species for late successional state, table 3; altitude from raster",10.81472222,-85.615,75,0.61,,,,,,,,,0.23,,,,,,,,,,,,,,0.05,0.03,,,0.08,,,,,,,Costa Rica,"Santa Rosa National Park (SRNP), on the North-Western coast of Costa Rica "
24,26,"Ishara, K. L., & Maimoni-Rodella, R. D. C. S. (2011). Pollination and dispersal systems in a Cerrado remnant (Brazilian Savanna) in Southeastern Brazil. Brazilian archives of biology and technology, 54, 629-642.",2011,syndrome+observation,open,830,no,"22º57’34”S, 48º31’20”W",no visitorxplant species list,-22.95944444,-48.52222222,176,0.63,,,,,,,,0.02,0.02,0.04,,,0.02,,,,0.01,,,,0.18,0.92,0.02,0.02,,,0.03,,,,,,,Brazil,"Botucatu, Brazil"
25,27,"Jacobi, C. M., & Carmo, F. F. D. (2011). Life-forms, pollination and seed dispersal syndromes in plant communities on ironstone outcrops, SE Brazil. Acta Botanica Brasilica, 25, 395-412.",2011,syndrome,open,1048,no,"Th e first was a study of ironstone outcrop vegetation in Serra do Curral (20º03'33' S - 44º00'34' W, 1460 m asl) and the southern sector of Serra da Moeda (20º20'06' S - 43º56'16' W, 1560 m asl) encompassing 45 ha, which rendered a list of 234 species of vascular plants (Jacobi et al. 2007). Th e second was undertaken in the northern sector of Serra da Moeda (20º05'35' S - 43º59'01' W, 900-1426 m asl) and complemented with herbarium specimens, totaling 246 species of angiosperms in 75 ha (Viana & Lombardi 2007). The last surveyed two sites within Serra do Tamanduá (19º53'08' S - 43º26'11' W, 845m asl; 19º51'06' S - 43º22'35' W, 1063m asl), and found 117 species of angiosperms in 35 ha (Mourão & Stehmann 2007).",n species is sum of last collumn of table 1 as I could not find raw data; coordinates are for the first site; altitude from raster,-20.05916667,-44.00944444,232,0.3,,,,,,,,,,,,,,,,,,,,0.47,,0.77,,0.06,,,0.16,,,,,,,Brazil,
26,28,"Kang H, Bawa KS (2003) Effects of successional status, habitat, sexual systems, and pollinators on flowering patterns in tropical rain forest trees. Am J Bot 90:865–876",2003,syndrome+observation,closed,157,no,,"no visitor species list (only categories); altitude from raster; number 0.48 comes from table 1, ""For tree species with only one type of vector
identified, medium/large-sized bees were the most frequent
vector (29.0%)."" ",10.3333,-83.9833,145,0.48,0.42,0.27,,,,,,0.03,0.08,0.11,0.06,,0.03,,,,0.13,,,,,,0.06,8,,,0.05,,,,,,,Costa Rica,La Selva Biological Reserve
27,29,"Koptur, S., Haber, W. A., Frankie, G. W., & Baker, H. G. (1988). Phenological studies of shrub and treelet species in tropical cloud forests of Costa Rica. Journal of Tropical Ecology, 4(4), 323-346.",1988,syndrome+observation,closed,1475,no,,combination of morphology and actual observations. no list of plant species x animal visitor species,10.303633,-84.810476,107,0.22,,,,,,,,,0.02,,0.04,,0.009,,,,0.07,,,0.32,,,,0.11,,,,,,,,0.17,,Costa Rica,"The study area, Monteverde, is in Puntarenas Province (Figure 1), situated between 1320 m and 1600 m elevation, including three forest types (according to the Holdridge (1967) system of life zones, two forest types and the transi- tion zone in between). The lowest area (Lower Montane Wet Forest, sensu Holdridge) is in woods on farms in the community of Monteverde (elevation 1320-1460 m above sea level). The middle area (Lower Montane Wet Forest/ Rain Forest Transition) is a large tract of privately owned forest (elevation 1480-1520 m) continguous with the highest area, the Monteverde Cloud Forest Biological Reserve (Lower Montane Rain Forest sensu Holdridge, or 'Cloud Forest', elevation 1550-1650 m), a large area of pristine forest managed by the Tropical Science Center, San Jose, Costa Rica. Other descriptions of these sites have been given by Buskirk & Buskirk (1976), Feinsinger (1976), Powell (1979), Lawton & Dryer (1981), and Hartshorn (in Janzen 1983)"
28,30,"Kress, W. J., and J. H. Beach. 1994. Flowering plant reproductive systems. In L. A. McDade, K. S. Bawa, H. A. Hespenheide, and G. S. Hartshorn [eds.], La Selva, ecology and natural history of a Neotropical rain forest, 161Ð182. University of Chicago Press, Chicago, IL.",1994,NA,closed,157,,,from Oliveira & Gibbs 2002. couldn't download the book chapter,10.3333,-83.9833,,,0.24,0.14,,,,,,0.02,0.04,0.08,,,0.02,,,,0.13,,,,,,0.03,0.15,,,0.03,,,,,,,Costa Rica,La Selva Biological Reserve
29,31,"Lemus-Barrios, H., Barrios, D., & García-Beltrán, J. A. (2022). Sistemas sexuales y rasgos morfoecológicos de las angiospermas en el bosque seco al noreste de la desembocadura del río Yaguanabo, Cienfuegos, Cuba. Revista del Jardín Botánico Nacional, 43, 69-83.",2022,syndrome,closed,171,yes,,altitude from raster,21.85022222,-80.20012778,105,,,,,,,,,,,,,,,,,,,,,,,0.75,0.06,0.17,,,0.01,,,,,,,Cuba,"El bosque seco al noreste de la desembocadura del río Ya- guanabo pertenece al municipio de Cumanayagua, Cienfue- gos, Cuba, y está ubicado al noreste de playa Yaguanabo, en los 21°51,80’ lat. N y 80°12,46’ long. W"
30,32,"Lemus-Jiménez, L. J., & Ramírez, N. (2003). Polinización y polinizadores en la vegetación de la planicie costera de Paraguaná, estado Falcón, Venezuela. Acta Científica Venezolana, 54(2), 97-114.",2003,syndrome+observation,open,10,no,,not exactly a study on syndromes; they looked at visitation and effective pollinators. I'm keeping it here though because it's a survey on communities though it's not a network study. Coordinates are for the first described site,11.66666667,-69.81666667,51,0.35,,,,,,,0.03,0.04,0.24,,,,0.13,,,,,,,,,,,,,,0.09,,,,,,,Venezuela,"El presente estudio fue realizado en la península de Paraguaná, ubicada en la región nor-occidental de Venezuela. Tres tipos de vegetación fueron seleccionados de acuerdo al mapa de vegetación de Huber y Alarcón26, bajo las coordenadas 110 40’ N, 690 49’ O (manglar costero); 110 50’ N, 690 48’ O (herbazal psamófilo) y 110 38’ N, 690 44’ O (herbazal litoral). Las tres áreas están a una elevación menor de 10 m;"
31,34,"Machado, I. C., & Lopes, A. V. (2004). Floral traits and pollination systems in the Caatinga, a Brazilian tropical dry forest. Annals of Botany, 94(3), 365-376.",2004,syndrome+observation,open,762,,"8 270 S, 36 460 W; 762 m a.s.l. 7 590 S, 38 190 W; 8670S, 37 110 W ","three sites, but results are reported in combination. data comes from figure 2/table 4",-8.45,-36.76666667,142,0.43,,,,,,,,0.01,0.04,0.01,0.12,,,,,,0.01,,,,0.12,,0.13,0.15,,,0.02,,,,,,,Brazil,"municipalities (Alagoinha, Bu ́ıque and Serra Talhada) located in the rural zone of Pernambuco State (PE), northeastern Brazil"
32,35,"Martins, F. Q., & Batalha, M. A. (2006). Sistemas de polinização e caracteres florais em espécies lenhosas de cerrado na região do Alto Taquari (GO, MS e MT). Brazilian Journal of Biology, 66, 543-552.",2006,syndrome,open,395,no,"The first fragment (approximately, 22K0283659S and 8036276W UTM), with 8,278 ha and a perimeter of 124.6 km, was composed by cerrado (90.81%), seasonal and gallery forest (0.16%), and other vegetation types (9.03%). The second – and the smallest – fragment (approximately, 22K0279934S and 8043454W UTM), with 1,678 ha and a perimeter of 35.7 km, was composed by cerrado (85.62%) and other vegetation types (14.38%).largest – fragment (approximately, 22K0267453S and 8056613W UTM), with 41,452ha and a perimeter of 813.6 km, was composed by cerrado (92.11%), seasonal and gallery forest (0.29%), and other vegetation types (7.60%). The fourth fragment (approximately, 22K0240604S and 8039048W UTM), with 6,666 ha and a perimeter of 206.0 km, was composed by cerrado (58.67%), seasonal and gallery forest (32.34%), and other vegetation types (8.99%). The fifth fragment (approximately, 22K0215774S and 7990493W UTM), with 12,459 ha and a perimeter of 386.0 km, was composed by cerrado (40.75%), seasonal and gallery forests (26.54%), and other vegetation types (32.71%). All fragments were located inside private properties and surrounded by agriculture and pasture.","only woody species (i.e. anemophyly may be underestimated). Coordinates are for Alcianopolis, MS; altitude from raster",-18.32695,-53.713046,99,0.56,,,,,,,,,,0.13,,,,,,,0.03,,,,0.2,,0.05,0.02,,,0.01,,,,,,,Brazil,"Alcinópolis (Mato Grosso do Sul State), Alto Araguaia and Alto Taquari (Mato Grosso State), and Mineiros and Santa Rita do Araguaia (Goiás State)"
33,36,"Martins, R., & Antonini, Y. (2016). Can pollination syndromes indicate ecological restoration success in tropical forests?. Restoration Ecology, 24(3), 373-380.",2016,syndrome,closed,518,,,relative abundances from table 2. sapromyophily had less than 1% and was ignored. Unclear if anemphylous are included. Thrips and microhymenoptera were combined into small insects,-20.03166667,-48.22138889,66,0.31,,,,,,,,,0.07,0.04,0.01,,0.13,,,,0.2,,,,0.18,,0.02,0.03,,,,,,,,,,Brazil,"The study was conducted in five patches of riparian forest (here- after referred to as sampling units) in the region of the reservoir of the Volta Grande hydroelectric power plant (HPP) located on the Rio Grande river that forms the border between Minas Gerais and São Paulo States, Brazil (20∘ 01′ 54′′ S/48∘ 13′ 17′ W)"
34,37,"Medan et al. 2002. Plant-Pollinator Relationships at Two Altitudes in the Andes of Mendoza, Argentina. Arctic Antarctic and Alpine Research 34:233 ",2002,syndrome+observation,open,3300,,,Bee visitis proportion calculated from fig1 interaction network. general results provide only total visits by hymenoptera,-34.1666,-69.7,40,0.52,,,,,,0.31,,,,,,0.2,0.42,,,,0.04,,0.02,,,,,0,,,,,,,,,,Argentina,Laguna Diamante 3300 m
35,38,"Medan et al. 2002. Plant-Pollinator Relationships at Two Altitudes in the Andes of Mendoza, Argentina. Arctic Antarctic and Alpine Research 34:233 ",2002,syndrome+observation,open,1900,,,Bee visitis proportion calculated from fig1 interaction network. general results provide only total visits by hymenoptera,-34,-69.17,24,0.83,,,,,,0.36,,,,,,0.04,0.42,,,,0.12,,0.01,,,,,,,,,,,,,,,Argentina,Rio Blanco 1900m
36,39,Moldenke AR & Lincoln PG 1979 Pollination ecology in Montane Colorado: a community analysis. Phytologia 41: 349-379,1979,syndrome+observation,,,,"Rocky Mountains Biological Laboratory, Colorado","Table 2. Number of plant species are not accurate. He gives on the number of species for the alpine (100). The more accurate system was the hummingbird & sphinx pollination (3-3%), therefore I use their percentage and number of species to calculate the number of all other species. As some plants can present more than one mode of pollination, the number of plant species is close to the real, but probably not so accurate",38.9592,-106.9897,100,did not provide neither total number for all bees nor interactions by plant species/bee species,,,0.16,0.31,0.04,,,0,0.12,,0.03,,,0,0.21,0.1,,,,,,,,0.03,,,0.17,,,,,,0.48,United States ,Alpine
36,40,Moldenke AR & Lincoln PG 1979 Pollination ecology in Montane Colorado: a community analysis. Phytologia 41: 349-379,1979,syndrome+observation,,,,"Rocky Mountains Biological Laboratory, Colorado",,38.9592,-106.9897,83,did not provide neither total number for all bees nor interactions by plant species/bee species,,,0.16,0.25,0.08,,,0.01,0.01,,0.06,,,0,0.08,0.01,,,,,,,,0.06,,,0.21,,,,,,0.25,United States ,Aspen
36,41,Moldenke AR & Lincoln PG 1979 Pollination ecology in Montane Colorado: a community analysis. Phytologia 41: 349-379,1979,syndrome+observation,,,,"Rocky Mountains Biological Laboratory, Colorado",,38.9592,-106.9897,80,did not provide neither total number for all bees nor interactions by plant species/bee species,,,0.27,0.31,0.01,,,0.05,0.07,,0.05,,,0.08,0.01,0,,,,,,,,0.05,,,0.12,,,,,,0.24,United States ,Sage
36,42,Moldenke AR & Lincoln PG 1979 Pollination ecology in Montane Colorado: a community analysis. Phytologia 41: 349-379,1979,syndrome+observation,,,,"Rocky Mountains Biological Laboratory, Colorado",,38.9592,-106.9897,87.5,did not provide neither total number for all bees nor interactions by plant species/bee species,,,0.26,0.35,0.21,,,0.01,0.05,,0.07,,,0.03,0.18,0.07,,,,,,,,0.07,,,0.17,,,,,,0.21,United States ,Fescue Grassland
36,43,Moldenke AR & Lincoln PG 1979 Pollination ecology in Montane Colorado: a community analysis. Phytologia 41: 349-379,1979,syndrome+observation,,,,"Rocky Mountains Biological Laboratory, Colorado",,38.9592,-106.9897,133,did not provide neither total number for all bees nor interactions by plant species/bee species,,,0.12,0.24,0.05,,,0.04,0.06,,0.04,,,0.02,0.15,0.05,,,,,,,,0.04,,,0.19,,,,,,0.25,United States ,Spruce-Fir
37,44,"Moldenke, AR 1976 California pollination ecology and vegetation types. Phytologia 34:305-361",1976,syndrome+observation,,,,Stanford University campus,"Plant species list x visitor categories plus bee genera. Vector categories represent the most efficient modes of pollination for a particular plant genus rather than simply the total flower visitors. Pollinators utilized are those actually observed, rather than speculation based on fflower morphology",37.42823,-122.168861,90,did not provide neither total number for all bees nor interactions by plant species/bee species,,,0.42,0.08,,,,0.05,0.07,0.02,0.07,,,0.12,0.07,0.06,0.2,,,,,,,0.07,,,0.12,,,,,,0.15,United States ,Stanford Chaparral Scrub
37,45,"Moldenke, AR 1976 California pollination ecology and vegetation types. Phytologia 34:305-361",1976,syndrome+observation,,,,Stanford University campus,"Stanford results are also present in the paper Moldenke 1979 Table 2, but restricted to the grasslands. However, in the same paper, he presents other data on the other envirnments in Stanford, such as the number of plant species ",37.42823,-122.168861,Could not find number of species for this environment nor in this neither in the Moldenke 1979 Sierra Nevada paper,did not provide neither total number for all bees nor interactions by plant species/bee species,,,0.17,0.18,,,,0.02,0.01,0,0.06,,,0.09,0.06,0,0.05,,,,,,,0.03,,,0.19,,,,,,0.18,United States ,Stanford Forest
37,46,"Moldenke, AR 1976 California pollination ecology and vegetation types. Phytologia 34:305-361",1976,syndrome+observation,,,,Stanford University campus,,37.42823,-122.168861,104,did not provide neither total number for all bees nor interactions by plant species/bee species,,,0.45,0.15,,,,0.03,0.02,0.03,0.03,,,0.15,0.09,0.02,0.1,,,,,,,0.06,,,0.18,,,,,,0.22,United States ,Stanford Oak Medrone Forest
37,47,"Moldenke, AR 1976 California pollination ecology and vegetation types. Phytologia 34:305-361",1976,syndrome+observation,,,,Stanford University campus,,37.42823,-122.168861,150,did not provide neither total number for all bees nor interactions by plant species/bee species,,,0.41,0.1,,,,0.01,0.07,0.01,0.03,,,0.2,0.04,0.03,0.16,,,,,,,0.03,,,0.16,,,,,,0.41,United States ,Stanford Serpentine Grassland
38,48,"Moldenke, AR 1979  Pollination ecology as an assay for ecosystem organization: convergent evolution in Chile and California. Phytologia 42:415-454",1979,syndrome+observation,,,,"Torrey Pines, California",No species list presented. Percentage of bees visiting flowers was calculated by the numer of plant species present in table 4 divided by the number of plant species according to the H columm,32.8918,-117.2404,140,0.5,,,0.27,,0.07,,,0.01,,,,0.02,,0.01,0.02,0.01,0.03,,,,,,,0.03,,,0.15,0.03,,,,,0.33,United States ,California Coastal Scrub (Torrey Pines)
